PN,CFF,NOMECLATURA,UN,PRICE UNIT(U$),Retorno da busca,Comparação preço
M2030AC-2,18783,"BEARING,BALL,ANNULAR",EA,"561,17",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
AN500A4-3,88044,"SCREW,MACHINE",EA,"3,87",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
170149,16827,"VALVE, CYLINDER, GAS",EA,2237,Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
HL2277-5-4,L4528,PIN-RIVET,EA,"16,18",Há 3 preços para este item. Preço médio: $2.63.,Preço médio do PubLog é 515.21% mais barato.
A1464,24692,LINK ASSEMBLY,EA,"440,18",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
M22759/41-20-9,81349,"WIRE,ELECTRICAL",EA,"0,62",Há 6 preços para este item. Preço médio: $0.12.,Preço médio do PubLog é 416.67% mais barato.
MS28775-120,96906,PACKING,EA,"1,48",Há 6 preços para este item. Preço médio: $0.25.,Preço médio do PubLog é 492.0% mais barato.
MS24693-C276,96906,"SCREW,MACHINE",EA,"0,83",Há 5 preços para este item. Preço médio: $7.47.,Preço médio do PubLog é 800.0% mais caro.
AN960C616L,88044,WASHER FLAT,EA,"8,1",Há 6 preços para este item. Preço médio: $1.66.,Preço médio do PubLog é 387.95% mais barato.
40335,12338,DIODE,EA,"647,52",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
40518,12338,DIODO,EA,"75,02",Part Number/CFF não encontrado.,Não há preço
25969,12338,CAPACITOR,EA,"94,76",Há 3 preços para este item. Preço médio: $28.21.,Preço médio do PubLog é 235.91% mais barato.
750572-1,70628,"SEAL,FLEXIBLE, FIBER GLASS FABRIC, COLOR ORANGE AND FOAM RUBBER, SILICONE RED, U/I EA, EQUAL 10 FEET",EA,"4528,47",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
17023,F6137,CAPSULE,EA,"1055,32",Part Number/CFF não encontrado.,Não há preço
7610,68352,"TAPE,REFLECTIVE",EA,"1601,75",Há 5 preços para este item. Preço médio: $182.92.,Preço médio do PubLog é 775.66% mais barato.
14269,72914,"FILTER,RADIO F",EA,"7352,09",Há 3 preços para este item. Preço médio: $1310.75.,Preço médio do PubLog é 460.91% mais barato.
B3007,80352,"COUNTERWEIGHT,PROPELLER",EA,"2335,78",Part Number/CFF não encontrado.,Não há preço
F5001-3,75237,"NUT,SELF-LOCKI",EA,"10,34",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
05-370232,3CPE0,"WASHER,FLAT",EA,"14,82",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS20220A2,96906,PULLEY,EA,"260,83",Há 4 preços para este item. Preço médio: $69.51.,Preço médio do PubLog é 275.24% mais barato.
AN316-7R,88044,"NUT,PLAIN,HEXA",EA,"1,31",Há 5 preços para este item. Preço médio: $21.09.,Preço médio do PubLog é 1509.92% mais caro.
MS27645-4,96906,"BEARING,BALL,AIRFRAME",EA,"144,35",Há 4 preços para este item. Preço médio: $21.26.,Preço médio do PubLog é 578.97% mais barato.
10-10-35-89000,R0527,"CAPACITOR,FIXED,ELECTROLYTIC",EA,"424,4",Part Number/CFF não encontrado.,Não há preço
MS28775-113,F0229,PACKING PREFORMED,EA,"0,96",Há 5 preços para este item. Preço médio: $0.19.,Preço médio do PubLog é 405.26% mais barato.
LM427-10,76005,WASHER,EA,"305,6",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
M83798/2-12,81349,"ELBOW,TUBE TO HOSE",EA,"808,77",Há 4 preços para este item. Preço médio: $136.04.,Preço médio do PubLog é 494.51% mais barato.
CE2-A25 ISS 5,K0801,"CAP,ELECTRICAL",EA,"1733,96",Part Number/CFF não encontrado.,Não há preço
KTD1297,K0802,HANDSTFF,EA,"456,74",Há 2 preços para este item. Preço médio: $65.75.,Preço médio do PubLog é 594.66% mais barato.
6370-1,81349,"WIRE,ELECTRICAL, ROUND, COLOR BROWN, OUTSIDE DIAMETER 0.183 IN, SIZE 16 AWG",EA,"1,37",Há 6 preços para este item. Preço médio: $0.6.,Preço médio do PubLog é 128.33% mais barato.
AN960-616L,88044,"WASHER,FLAT",EA,"7,56",Há 6 preços para este item. Preço médio: $1.48.,Preço médio do PubLog é 410.81% mais barato.
MS24694S52,5M696,SCREW,EA,"9,11",Há 6 preços para este item. Preço médio: $8.08.,Preço médio do PubLog é 12.75% mais barato.
M39029/76-424,0U583,"CONTACT,ELECTRICAL",EA,"122,98",Há 6 preços para este item. Preço médio: $6.87.,Preço médio do PubLog é 1690.1% mais barato.
103A10031-01,26433,"SCREW,MACHINE",EA,"733,12",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
CE2-23,K0683,DISC FILLING,EA,"183,89",Part Number/CFF não encontrado.,Não há preço
SPS011,K0683,SCREW BEZEL,EA,"495,91",Part Number/CFF não encontrado.,Não há preço
CE2-44,K0683,"PIECE,RETAINING CLIP",EA,"227,68",Part Number/CFF não encontrado.,Não há preço
MS51957-45,96906,SCREW,EA,"37,42",Há 6 preços para este item. Preço médio: $6.55.,Preço médio do PubLog é 471.3% mais barato.
24296,99595,SEAL,EA,"479,88",Part Number/CFF não encontrado.,Não há preço
3106,25693,"ROLLER,LINEAR-ROTAR",EA,"105,39",Há 4 preços para este item. Preço médio: $4.45.,Preço médio do PubLog é 2268.31% mais barato.
MS9321-10,96906,"WASHER,FLAT",EA,"19,91",Há 6 preços para este item. Preço médio: $3.85.,Preço médio do PubLog é 417.14% mais barato.
B240-21,17472,SHIM,EA,"27,79",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS28775-227,96906,"PACKING,PREFORMED",EA,"3,63",Há 3 preços para este item. Preço médio: $1.08.,Preço médio do PubLog é 236.11% mais barato.
14-616-5FY1,F0214,SWITCH,EA,"8337,05",Part Number/CFF não encontrado.,Não há preço
B3475-A2,24692,LOW STOP,EA,"3210,25",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
21206,75250,STUD,EA,"1035,86",Part Number/CFF não encontrado.,Não há preço
A3826,72121,"SPRING,HELICAL,COMPRESSION",EA,"733,05",Part Number/CFF não encontrado.,Não há preço
A9138,17472,"WASHER,FLAT",EA,"250,45",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
PK3654-07,99207,CAP,EA,"79,31",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
SBS8ATH21M,U0440,"BEARING,PLAIN,SELF-ALIGNING",EA,"93,58",Há 6 preços para este item. Preço médio: $16.55.,Preço médio do PubLog é 465.44% mais barato.
12698,78710,CABO,EA,"293,6",Há 2 preços para este item. Preço médio: $34.42.,Preço médio do PubLog é 752.99% mais barato.
MS20426AD3-4-5,96906,"RIVET,SOLID",EA,"1,34",Há 6 preços para este item. Preço médio: $0.02.,Preço médio do PubLog é 6600.0% mais barato.
1604A,0SG42,"BATTERY,NONRECHARGEABLE 9V",EA,"82,84",Há 7 preços para este item. Preço médio: $16.41.,Preço médio do PubLog é 404.81% mais barato.
HL22-77-5-5,L4528,PIN-COLLAR ASSEMBLY,EA,"38,58",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
A12011,17472,"END CAP,SCREW COVER",EA,"1593,74",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS21921-8D,96906,"NUT,TUBE COUPLING",EA,"14,69",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
262-06,F0180,BALL JOINT,EA,"225,47",Part Number/CFF não encontrado.,Não há preço
32165-124,F6137,ANEL,EA,"98,71",Part Number/CFF não encontrado.,Não há preço
32300,63367,THERMOSTAT,EA,"636,15",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
B6718-1,17472,RING SPACER,EA,"1130,8",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
124337,F1688,BUTEE,EA,"1406,75",Part Number/CFF não encontrado.,Não há preço
3510-4-120,F0214,PIVOT,EA,"173,73",Part Number/CFF não encontrado.,Não há preço
MS28772-335,96906,ANEL,EA,"65,94",Há 2 preços para este item. Preço médio: $743.65.,Preço médio do PubLog é 1027.77% mais caro.
E2X14EM,F0313,PINO,EA,"12,1",Part Number/CFF não encontrado.,Não há preço
204-040-691-3,97499,PACKING PREFOR,EA,"67,67",Há 4 preços para este item. Preço médio: $12.63.,Preço médio do PubLog é 435.79% mais barato.
MS20667-6,96906,"TERMINAL,ROPE,SWAGING",EA,"141,19",Há 5 preços para este item. Preço médio: $19.83.,Preço médio do PubLog é 612.0% mais barato.
AN669L3LH,88044,"TERMINAL,WIRE",EA,"36,73",Há 5 preços para este item. Preço médio: $7.2.,Preço médio do PubLog é 410.14% mais barato.
136-4421-72,22373,RESISTOR,EA,"19,27",Part Number/CFF não encontrado.,Não há preço
CA1000,83574,"SEALING COMPOUND, PASTE, RUBBER SYNTHETIC, COLOR OFF-WHITE, 6 OUNCE CARTRIDGE",EA,"582,05",Há 5 preços para este item. Preço médio: $114.36.,Preço médio do PubLog é 408.96% mais barato.
AS3209-028,00GJU,PACKING,EA,"1,93",Há 4 preços para este item. Preço médio: $0.25.,Preço médio do PubLog é 672.0% mais barato.
3510-403,F0214,NUT,EA,"30,36",Part Number/CFF não encontrado.,Não há preço
MS24694-S53,80205,"SCREW,MACHINE",EA,"6,07",Há 6 preços para este item. Preço médio: $14.98.,Preço médio do PubLog é 146.79% mais caro.
MS24693-C51,80205,"SCREW,MACHINE",EA,"7,72",Há 6 preços para este item. Preço médio: $5.51.,Preço médio do PubLog é 40.11% mais barato.
61156-025,28856,YOKE SLIDER,EA,"77,39",Part Number/CFF não encontrado.,Não há preço
700141-000,28856,RECEIVER COVER,EA,"35,38",Part Number/CFF não encontrado.,Não há preço
800024-001,28856,"CUSHION,FOAM, FOR HR1 HEADSET",EA,"218,1",Part Number/CFF não encontrado.,Não há preço
AN4-13,88044,"BOLT,MACHINE",EA,"32,56",Há 2 preços para este item. Preço médio: $1.8.,Preço médio do PubLog é 1708.89% mais barato.
66842,93251,"SPRING,HELICAL,COMP",EA,"5403,26",Há 2 preços para este item. Preço médio: $63.45.,Preço médio do PubLog é 8415.78% mais barato.
632007-09,16827,PACKING O-RING,EA,"60,71",Part Number/CFF não encontrado.,Não há preço
452-5050,60253,MOUNTING TRAY,EA,"445,92",Há 3 preços para este item. Preço médio: $93.29.,Preço médio do PubLog é 377.99% mais barato.
455-5030-710,60253,KIT 01 INSTAL ELT C406-2,EA,"32352,48",Part Number/CFF não encontrado.,Não há preço
453-9701,60253,ELT REMOTE SWITCH G1-28V,EA,"4295,37",Part Number/CFF não encontrado.,Não há preço
611-6052,60253,"CABLE ASSEMBLY,RADIO FREQUENCY",EA,"2176,78",Há 4 preços para este item. Preço médio: $612.54.,Preço médio do PubLog é 255.37% mais barato.
452-0133,78286,"BATTERY,NONRECHARGEABLE",EA,"3539,23",Há 3 preços para este item. Preço médio: $697.8.,Preço médio do PubLog é 407.2% mais barato.
737,5S153,GASKET,EA,"848,49",Part Number/CFF não encontrado.,Não há preço
MS29513-010,96906,ANEL-O,EA,"1,29",Há 4 preços para este item. Preço médio: $0.2.,Preço médio do PubLog é 545.0% mais barato.
MS28775-028,81343,ANEL-O,EA,"1,36",Há 6 preços para este item. Preço médio: $0.46.,Preço médio do PubLog é 195.65% mais barato.
S2L-222,8118,ANEL-O,EA,"54,02",Part Number/CFF não encontrado.,Não há preço
"13,60X2,70-20B8",F0229,ANEL-O,EA,"189,73",Part Number/CFF não encontrado.,Não há preço
MS29561-258,81343,ANEL-O,EA,"13,07",Há 5 preços para este item. Preço médio: $1.97.,Preço médio do PubLog é 563.45% mais barato.
AS3209-126,81343,ANEL-O,EA,"2,24",Há 4 preços para este item. Preço médio: $0.3.,Preço médio do PubLog é 646.67% mais barato.
MS29513-383,81343,ANEL-O,EA,"38,1",Há 4 preços para este item. Preço médio: $4.87.,Preço médio do PubLog é 682.34% mais barato.
MS28775-136,F0229,ANEL-O,EA,"2,6",Há 6 preços para este item. Preço médio: $0.43.,Preço médio do PubLog é 504.65% mais barato.
MS29513-28,81343,ANEL-O,EA,"3,55",Há 6 preços para este item. Preço médio: $0.68.,Preço médio do PubLog é 422.06% mais barato.
32167-124,F6137,ANEL-O,EA,"188,97",Part Number/CFF não encontrado.,Não há preço
AN6227-25,88044,ANEL-O,EA,"2,05",Há 6 preços para este item. Preço médio: $0.27.,Preço médio do PubLog é 659.26% mais barato.
MS28775-011,A9271,ANEL-O,EA,"0,77",Há 6 preços para este item. Preço médio: $0.13.,Preço médio do PubLog é 492.31% mais barato.
98W52,96073,ANEL-O,EA,"3247,49",Há 2 preços para este item. Preço médio: $511.35.,Preço médio do PubLog é 535.08% mais barato.
NAS9301BNS-4-04,80205,"RIVET,CEGO",EA,"2,05",Há 6 preços para este item. Preço médio: $0.3.,Preço médio do PubLog é 583.33% mais barato.
MS29512-04,A9271,ANEL-O,EA,"19,29",Há 6 preços para este item. Preço médio: $0.23.,Preço médio do PubLog é 8286.96% mais barato.
MS20600AD5W4,96906,"REBITE, CEGO",EA,"3,42",Há 6 preços para este item. Preço médio: $0.8.,Preço médio do PubLog é 327.5% mais barato.
MS20600AD4W1,96906,"REBITE, CEGO",EA,"9,63",Há 6 preços para este item. Preço médio: $71.34.,Preço médio do PubLog é 640.81% mais caro.
M83461/1-125,81349,ANEL-O,EA,"2,88",Há 6 preços para este item. Preço médio: $0.46.,Preço médio do PubLog é 526.09% mais barato.
MS29513-007,1K697,ANEL-O,EA,"0,48",Há 6 preços para este item. Preço médio: $0.13.,Preço médio do PubLog é 269.23% mais barato.
MS28778-3,81343,ANEL-O,EA,"2,2",Há 6 preços para este item. Preço médio: $0.38.,Preço médio do PubLog é 478.95% mais barato.
MS28778-3,5N582,ANEL-O,EA,"2,73",Há 6 preços para este item. Preço médio: $0.38.,Preço médio do PubLog é 618.42% mais barato.
AS3209-113,81349,ANEL-O,EA,"4,63",Há 6 preços para este item. Preço médio: $0.19.,Preço médio do PubLog é 2336.84% mais barato.
MS20600AD4W4,96906,"REBITE, CEGO",EA,"14,85",Há 5 preços para este item. Preço médio: $49.77.,Preço médio do PubLog é 235.15% mais caro.
MS28775-129,81343,ANEL-O,EA,"8,65",Há 6 preços para este item. Preço médio: $0.39.,Preço médio do PubLog é 2117.95% mais barato.
NAS1738B4-3,80205,"REBITE, CEGO",EA,"11,84",Há 6 preços para este item. Preço médio: $69.03.,Preço médio do PubLog é 483.02% mais caro.
32037-124,F6137,ANEL-O,EA,"246,24",Part Number/CFF não encontrado.,Não há preço
M83248/1-009,81349,ANEL-O,EA,"7,06",Há 2 preços para este item. Preço médio: $1.43.,Preço médio do PubLog é 393.71% mais barato.
M83248-1-027,99657,ANEL-O,EA,"2,5",Há 6 preços para este item. Preço médio: $0.32.,Preço médio do PubLog é 681.25% mais barato.
MS28775-239,96906,ANEL-O,EA,"4,55",Há 6 preços para este item. Preço médio: $0.87.,Preço médio do PubLog é 422.99% mais barato.
MS28778-2,81343,ANEL-O,EA,"2,08",Há 6 preços para este item. Preço médio: $0.3.,Preço médio do PubLog é 593.33% mais barato.
AS3578-034,81343,ANEL-O,EA,"5,21",Há 6 preços para este item. Preço médio: $0.83.,Preço médio do PubLog é 527.71% mais barato.
MS28775-009,96906,ANEL-O,EA,"0,98",Há 2 preços para este item. Preço médio: $18.0.,Preço médio do PubLog é 1736.73% mais caro.
AS568-902,81343,ANEL-O,EA,"1,08",Há 2 preços para este item. Preço médio: $16.34.,Preço médio do PubLog é 1412.96% mais caro.
MS29513-021,81343,ANEL-O,EA,"1,7",Há 6 preços para este item. Preço médio: $0.23.,Preço médio do PubLog é 639.13% mais barato.
M83248/1-004,81349,ANEL-O,EA,"1,75",Há 6 preços para este item. Preço médio: $0.23.,Preço médio do PubLog é 660.87% mais barato.
MS29513-232,96906,ANEL-O,EA,"4,55",Há 6 preços para este item. Preço médio: $0.7.,Preço médio do PubLog é 550.0% mais barato.
MS29561-024,81343,ANEL-O,EA,"3,72",Há 5 preços para este item. Preço médio: $0.51.,Preço médio do PubLog é 629.41% mais barato.
M83461/1-326,5N582,ANEL-O,EA,"2,24",Há 6 preços para este item. Preço médio: $0.35.,Preço médio do PubLog é 540.0% mais barato.
M83248-2-904,81205,ANEL-O,EA,"1,5",Part Number/CFF não encontrado.,Não há preço
557S4,73342,ANEL-O,EA,"19,74",Part Number/CFF não encontrado.,Não há preço
MS24665-155,80205,SCREW,EA,"3,79",Há 6 preços para este item. Preço médio: $2.72.,Preço médio do PubLog é 39.34% mais barato.
26479-0494,FC015,"CONNECTOR,PLUG,ELECTRICAL",EA,"1411,96",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS16562-28,96906,"PIN,SPRING",EA,"2,04",Há 5 preços para este item. Preço médio: $1.66.,Preço médio do PubLog é 22.89% mais barato.
MS28778-12,21439,ANEL-O,EA,"5,77",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS87027-12,96906,MANGUEIRA,EA,"179,65",Part Number/CFF não encontrado.,Não há preço
3294006,K0068,MANGUEIRA,EA,"2064,15",Part Number/CFF não encontrado.,Não há preço
NAS6204-14,0,BOLT SHEAR,EA,"2,73",Part Number/CFF não encontrado.,Não há preço
MS29513-218,81343,O-RING,EA,"2,04",Há 6 preços para este item. Preço médio: $0.33.,Preço médio do PubLog é 518.18% mais barato.
1-375-19-1,26858,O-RING,EA,"1969,94",Part Number/CFF não encontrado.,Não há preço
MS27039-0805,80205,"SCREW, MACHINE",EA,"62,4",Há 5 preços para este item. Preço médio: $9.95.,Preço médio do PubLog é 527.14% mais barato.
664-501-9104,70210,SEAL SLEEVE,EA,"984,97",Part Number/CFF não encontrado.,Não há preço
200730,57597,"CARTRIDGE,AIRCRAFT FIRE EXTINGUISHER",EA,"501,63",Há 2 preços para este item. Preço médio: $71.3.,Preço médio do PubLog é 603.55% mais barato.
32308-124,F0189,O-RING,EA,"189,73",Part Number/CFF não encontrado.,Não há preço
MS29513-228,81343,O-RING,EA,"3,1",Há 6 preços para este item. Preço médio: $0.5.,Preço médio do PubLog é 520.0% mais barato.
MS27039-0814,96906,"SCREW,MACHINE",EA,"9,11",Há 5 preços para este item. Preço médio: $9.42.,Preço médio do PubLog é 3.4% mais caro.
MS24665-351,96906,"PIN,COTTER",EA,"17,31",Há 6 preços para este item. Preço médio: $2.75.,Preço médio do PubLog é 529.45% mais barato.
56968,75250,PLATE,EA,"668,37",Part Number/CFF não encontrado.,Não há preço
MS21047L3,96906,"NUT,SELF-LOCKING,PLATE",EA,"20,14",Há 5 preços para este item. Preço médio: $30.86.,Preço médio do PubLog é 53.23% mais caro.
HL22-5-8,73197,PIN RIVET,EA,"8,13",Há 5 preços para este item. Preço médio: $1.78.,Preço médio do PubLog é 356.74% mais barato.
9321921129,S4080,BOLT,EA,"1,62",Há 6 preços para este item. Preço médio: $0.27.,Preço médio do PubLog é 500.0% mais barato.
MS24523-22,96182,"SWITCH,TOGGLE",EA,"85,92",Há 6 preços para este item. Preço médio: $17.78.,Preço médio do PubLog é 383.24% mais barato.
A13170,17472,SPACER,EA,"668,37",Part Number/CFF não encontrado.,Não há preço
AN4-22A,88044,"BOLT,MACHINE",EA,"231,54",Há 6 preços para este item. Preço médio: $36.23.,Preço médio do PubLog é 539.08% mais barato.
583861-7,F0286,PLUGUE,EA,"34,83",Part Number/CFF não encontrado.,Não há preço
2538100,7213,"ELBOW,PIPE",EA,"3491,06",Part Number/CFF não encontrado.,Não há preço
14861,0RH25,"WASHER, FLAT",EA,"1214,28",Há 2 preços para este item. Preço médio: $228.95.,Preço médio do PubLog é 430.37% mais barato.
M81824/1-1,81343,"SPLICE,CONDUCTOR",EA,"364,35",Há 6 preços para este item. Preço médio: $68.28.,Preço médio do PubLog é 433.61% mais barato.
M7928/1-43,81349,TERMINAL LUG,EA,"19,42",Há 6 preços para este item. Preço médio: $9.95.,Preço médio do PubLog é 95.18% mais barato.
MS20813-1,96906,"CAP,VALVE, COLOR YELOW, HEIGHT 0.500 (1/2"") IN, MATERIAL COPPER ALLOY",EA,"4,78",Há 6 preços para este item. Preço médio: $0.95.,Preço médio do PubLog é 403.16% mais barato.
NGA50803D5HSOSA,D7505,BATTERY CELL,EA,"224,42",Part Number/CFF não encontrado.,Não há preço
AS3217-127,81343,RING,EA,"26,38",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS21922-8C,96906,SLEEVE,EA,"56,54",Há 4 preços para este item. Preço médio: $11.9.,Preço médio do PubLog é 375.13% mais barato.
MS24694-S49,80205,PARAFUSO,EA,"6,22",Há 6 preços para este item. Preço médio: $8.84.,Preço médio do PubLog é 42.12% mais caro.
MS9518-10,96906,"BOLT,MACHINE",EA,"5,91",Há 4 preços para este item. Preço médio: $0.95.,Preço médio do PubLog é 522.11% mais barato.
14468-000-01,F0189,"SPACER,PLATE, U/O MAIN LANDING GEAR,AIRCRAFT C-95",EA,"301,9",Part Number/CFF não encontrado.,Não há preço
A12008,17472,"RETAINER,OIL SHIELD",EA,"975,82",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
A9155-2,17472,SHIM,EA,"1829,23",Part Number/CFF não encontrado.,Não há preço
AN3-6A,88044,"BOLT,MACHINE",EA,"40,22",Há 6 preços para este item. Preço médio: $11.61.,Preço médio do PubLog é 246.43% mais barato.
NAS464P4A16,80205,"BOLT,SHEAR",EA,"61,42",Há 4 preços para este item. Preço médio: $55.41.,Preço médio do PubLog é 10.85% mais barato.
MS24667-15,96906,"SCREW,CAP,SOCK",EA,"3,42",Há 6 preços para este item. Preço médio: $31.52.,Preço médio do PubLog é 821.64% mais caro.
MS27039-1-12,80205,PARAFUSO,EA,"9,11",Há 6 preços para este item. Preço médio: $11.61.,Preço médio do PubLog é 27.44% mais caro.
C3311-13,72121,BALL SCREW,EA,"20965,76",Part Number/CFF não encontrado.,Não há preço
MS3506-1,96906,TOMADA FORCA,EA,"572,34",Há 6 preços para este item. Preço médio: $94.66.,Preço médio do PubLog é 504.63% mais barato.
HL2277-6-9,73197,REBITE HI-LOOK,EA,"30,36",Part Number/CFF não encontrado.,Não há preço
NAS6205-14H,80205,"BOLT,SHEAR",EA,"16,9",Há 5 preços para este item. Preço médio: $3.15.,Preço médio do PubLog é 436.51% mais barato.
M83248/1-330,81349,ANEL-O,EA,"7,82",Há 5 preços para este item. Preço médio: $1.23.,Preço médio do PubLog é 535.77% mais barato.
AN4H10A,88044,BOLT,EA,"345,65",Há 6 preços para este item. Preço médio: $54.07.,Preço médio do PubLog é 539.26% mais barato.
10797,F0189,PACKING WITH RETAINER,EA,"225,14",Part Number/CFF não encontrado.,Não há preço
MS51957-31,96906,"SCREW,MACHINE",EA,"26,49",Há 4 preços para este item. Preço médio: $0.5.,Preço médio do PubLog é 5198.0% mais barato.
MS24693-S274,96906,"SCREW,MACHINE",EA,"42,28",Há 6 preços para este item. Preço médio: $7.27.,Preço médio do PubLog é 481.57% mais barato.
MS28775-015,96906,O-RING,EA,"1,06",Há 6 preços para este item. Preço médio: $0.19.,Preço médio do PubLog é 457.89% mais barato.
SGDXL80BR,55719,"SCREWDRIVER SET,FLAT TIP AND CROSS TIP",EA,"992,99",Há 6 preços para este item. Preço médio: $141.14.,Preço médio do PubLog é 603.55% mais barato.
A6119,24692,"BUSHING,NONMETALLIC",EA,"24,69",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS9923-31,81343,"BOLT,MACHINE",EA,"18,16",Há 4 preços para este item. Preço médio: $2.47.,Preço médio do PubLog é 635.22% mais barato.
A9036,17472,ARMATURE,EA,"23612,33",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
327,8108,"LAMP,INCANDESCENT",EA,"11,57",Part Number/CFF não encontrado.,Não há preço
67609,80254,"GEAR,SPUR",EA,"1407,1",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
AN4-15A,88044,"BOLT,MACHINE",EA,"177,01",Há 6 preços para este item. Preço médio: $31.88.,Preço médio do PubLog é 455.24% mais barato.
MS29513-022,96906,ANEL-O,EA,"1,34",Há 6 preços para este item. Preço médio: $0.22.,Preço médio do PubLog é 509.09% mais barato.
15062,F0189,ARRUELA,EA,"80,42",Part Number/CFF não encontrado.,Não há preço
6838,71744,"LAMP,INCANDESCENT",EA,"5,69",Há 6 preços para este item. Preço médio: $0.44.,Preço médio do PubLog é 1193.18% mais barato.
MS28775-112,81343,PACKING,EA,"0,91",Há 6 preços para este item. Preço médio: $0.14.,Preço médio do PubLog é 550.0% mais barato.
NAS464P3A9,80205,"BOLT,SHEAR",EA,"58,41",Há 4 preços para este item. Preço médio: $11.94.,Preço médio do PubLog é 389.2% mais barato.
32088-124,F0189,ANEL DE VEDAÇÃO,EA,"30,13",Part Number/CFF não encontrado.,Não há preço
8859,F0189,ADAPTADOR RETO DE TUBO PARA MANGUEIRA,EA,"1345,44",Part Number/CFF não encontrado.,Não há preço
13912,F0189,GAXETA,EA,"948,66",Part Number/CFF não encontrado.,Não há preço
16825,F0189,CONJUNTO DA PLACA ESQUERDA E DIREITA,EA,"22008,83",Part Number/CFF não encontrado.,Não há preço
20978,75250,MANG TEFLON,EA,"3869,52",Part Number/CFF não encontrado.,Não há preço
11677,F0189,PLACA MOVEL,EA,"5198,64",Part Number/CFF não encontrado.,Não há preço
M83413/8-C008BB,96906,"PONTO DE LIGAÇÃO(METALIZAÇÃO),REDONDO, DIA 0.102IN, LENGTH 8.390 IN, TERMINAL MS25036-112 BOTH ENDS",EA,"37,87",Há 6 preços para este item. Preço médio: $5.92.,Preço médio do PubLog é 539.7% mais barato.
18155,F0189,CONJUNTO DA VALVULA,EA,"22865,34",Part Number/CFF não encontrado.,Não há preço
MS25083-7AB4,96906,METALIZACAO,EA,"529,07",Há 4 preços para este item. Preço médio: $4.1.,Preço médio do PubLog é 12804.15% mais barato.
15786,F0189,NUT,EA,"1579,33",Part Number/CFF não encontrado.,Não há preço
14244,F0189,BUJAO,EA,"1803,75",Part Number/CFF não encontrado.,Não há preço
MS51958-65,80205,PARAFUSO,EA,"52,34",Há 6 preços para este item. Preço médio: $7.93.,Preço médio do PubLog é 560.03% mais barato.
11676-000-00,F0189,"PASTILHA DE FREIO, USADO NO CONJUNTO DE FREIO A DISCO PN 16835-000-01/02/03 DIREITO/ESQUERDO",EA,"337,7",Part Number/CFF não encontrado.,Não há preço
11668,F0189,VÁLVULA LANÇADEIRA,EA,"2094,19",Part Number/CFF não encontrado.,Não há preço
MS24665-71,80205,"PIN,COTTER",EA,"6,94",Há 6 preços para este item. Preço médio: $6.43.,Preço médio do PubLog é 7.93% mais barato.
16371,K1017,OVEN TAPE,EA,"5065,85",Part Number/CFF não encontrado.,Não há preço
14954,F0189,"SEDE DA MOLA, APLICADO PN 16835-000-03, CONJUNTO FREIO A DISCO, ESQ/DIR, TREM POUSO PRINCIPAL.",EA,"1957,35",Part Number/CFF não encontrado.,Não há preço
AN960-816,88044,"WASHER,FLAT",EA,"4,63",Há 6 preços para este item. Preço médio: $2.55.,Preço médio do PubLog é 81.57% mais barato.
AN5-22A,88044,BOLT MACHINE,EA,"5,56",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
A12014-2,17472,"CONNECTOR,ROD END",EA,"1688,52",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
